date,open,close,low,high,avgGas
2021-11-11,146.78,122.33,78.22,258.83,76641.46479
2021-11-10,431.54,183.34,79.11,431.54,73222.644435
2021-11-09,118.43,197.13,93.36,347.55,75242.18040900001
2021-11-08,310.32,144.59,61.53,338.88,75874.66530200004
2021-11-07,115.78,95.68,57.05,163.65,80776.37875599999
2021-11-06,102.55,88.16,57.62,396.27,87796.77323600002
2021-11-05,104.73,107.21,72.88,236.52,78113.65220399998
2021-11-04,138.13,156.08,85.21,247.86,74441.45547600002
2021-11-03,220.01,168.44,86.38,269.15,70205.23423900004
2021-11-02,148.76,206.46,100.61,417.87,70372.90415199996
2021-11-01,184.49,112.35,87.83,318.87,75621.23602
2021-10-31,183.13,168.19,84.24,204.11,77266.60484600002
2021-10-30,193.8,158.52,95.79,257.31,74723.47502000003
2021-10-29,163.31,157.92,92.35,283.53,72084.84725399996
2021-10-28,147.06,172.46,93.29,341.25,69327.19384599998
2021-10-27,166.22,101.92,70.0,328.25,73603.003837
2021-10-26,136.42,77.9,55.12,349.72,80750.04826199997
2021-10-25,80.38,81.72,40.87,470.51,82747.09208000003
2021-10-24,61.6,43.0,31.78,232.8,80137.03077799999
2021-10-23,66.36,53.9,34.05,117.5,83148.83620399999
2021-10-22,70.53,100.35,38.46,165.06,80757.66652799999
2021-10-21,1013.03,111.01,44.03,1091.67,81732.53232799997
2021-10-20,99.7,68.92,35.86,336.36,84824.436344
2021-10-19,80.68,75.19,46.69,163.51,82553.08546699997
2021-10-18,371.45,63.58,36.6,6410.12,91625.80341200001
2021-10-17,82.43,77.68,45.12,169.77,98732.83867900005
2021-10-16,53.0,76.35,48.4,161.02,98199.65672500001
2021-10-15,102.06,124.51,67.16,1117.29,102896.05905000003
2021-10-14,121.49,88.24,56.06,824.17,84049.56397500003
2021-10-13,107.53,81.79,48.03,203.26,85905.345487
2021-10-12,81.18,97.73,48.24,318.07,84170.11273100002
2021-10-11,133.18,93.64,50.86,560.93,91776.32682700001
2021-10-10,90.64,58.31,39.46,273.45,96794.36645999999
2021-10-09,81.26,106.48,45.85,193.95,88486.02437099995
2021-10-08,63.77,89.98,55.87,1210.87,87968.935361
2021-10-07,115.15,104.29,67.62,420.99,77837.94197399999
2021-10-06,129.98,99.14,58.06,698.91,85596.17896699999
2021-10-05,112.69,127.62,46.73,386.9,87389.23745799996
2021-10-04,116.76,65.99,34.0,691.27,95000.93213199997
2021-10-03,58.63,48.19,33.83,194.75,92516.18439600003
2021-10-02,44.02,97.94,33.77,353.31,94955.96155399998
2021-10-01,54.5,70.0,46.79,203.19,84635.94809800002
2021-09-30,82.05,79.04,42.78,719.22,96929.88513899999
2021-09-29,75.37,54.19,38.5,694.42,92731.40066499996
2021-09-28,85.3,57.26,45.41,720.41,97773.70010899997
2021-09-27,75.07,42.09,38.54,386.11,97511.32108199998
2021-09-26,48.71,35.83,30.79,1152.63,104133.24480900001
2021-09-25,46.61,48.29,25.94,90.0,94886.483063
2021-09-24,41.0,56.41,35.31,166.7,91030.999113
2021-09-23,63.75,73.13,37.13,216.93,86878.77787599998
2021-09-22,93.32,96.53,34.32,193.59,95746.917295
2021-09-21,71.72,149.69,33.0,586.06,87054.23275899995
2021-09-20,283.05,53.77,32.47,296.05,90749.32351699998
2021-09-19,112.5,40.1,27.97,720.0,97536.71695400002
2021-09-18,40.67,50.36,30.03,162.46,93211.598226
2021-09-17,54.37,46.95,41.11,184.01,90503.21711299996
2021-09-16,56.0,65.88,41.0,1129.85,96951.55274199999
2021-09-15,78.7,30.55,30.55,209.43,86404.352232
2021-09-14,29.66,47.34,29.66,2685.15,86975.91046900001
2021-09-13,58.91,44.87,40.36,573.0,86552.94290699998
2021-09-12,53.47,49.75,33.78,236.5,90856.78460799997
2021-09-11,49.67,57.36,42.0,107.71,88581.43396899998
2021-09-10,66.99,83.37,57.29,1178.08,86869.39869499998
2021-09-09,86.42,87.0,66.84,976.8,88508.59000400003
2021-09-08,110.98,116.93,60.0,642.01,96605.220703
2021-09-07,84.83,72.86,69.23,7500.0,81590.71613499998
2021-09-06,100.23,91.35,66.56,445.0,84028.55693
2021-09-05,78.81,92.29,57.27,244.0,93890.59429600004
2021-09-04,106.01,128.5,69.19,350.0,81816.971501
2021-09-03,145.0,86.31,67.47,548.0,87955.17978000006
2021-09-02,68.54,89.18,59.0,211.74,81512.29084200002
2021-09-01,90.03,130.07,60.0,323.21,85577.08424699999
2021-08-31,140.65,88.01,56.0,1883.3,91235.53401899998
2021-08-30,111.23,75.93,46.67,2300.27,87374.96042499998
2021-08-29,89.27,55.0,42.78,2000.0,96239.86947700004
2021-08-28,67.13,79.13,40.29,2332.22,94332.60525899997
2021-08-27,84.33,82.81,49.0,844.02,98045.692597
2021-08-26,108.25,74.02,44.62,784.87,86751.48929499999
2021-08-25,73.56,75.42,46.85,655.7,92807.36849299997
2021-08-24,65.94,56.18,33.64,350.0,86925.14531700002
2021-08-23,65.44,28.32,25.92,121.82,83037.71558500003
2021-08-22,51.98,29.04,16.33,88.88,86662.14615099998
2021-08-21,35.0,21.0,18.33,218.94,80705.737758
2021-08-20,25.0,43.0,20.05,107.36,85782.29298700002
2021-08-19,40.21,34.64,18.0,115.92,86359.51929299999
2021-08-18,28.44,45.0,23.58,253.77,83500.22508400002
2021-08-17,41.0,56.0,27.29,222.73,78196.14710199997
2021-08-16,40.93,35.21,29.0,228.23,89931.203382
2021-08-15,58.0,33.17,22.66,1558.0,84369.27776500004
2021-08-14,31.0,55.89,26.24,835.0,88177.31796800002
2021-08-13,50.74,53.0,25.0,187.48,82634.019997
2021-08-12,57.91,49.36,27.17,444.0,88528.34793400002
2021-08-11,41.0,44.0,34.0,380.0,86849.36920300001
2021-08-10,61.24,52.0,29.0,341.0,93038.88458099999
2021-08-09,45.37,38.0,26.4,2300.0,84900.31284000001
2021-08-08,38.0,93.5,22.0,400.0,91691.30631399999
2021-08-07,84.0,44.0,30.2,84.0,107223.83310900004
2021-08-06,56.0,40.23,25.0,232.0,92682.80575700004
2021-08-05,36.8,46.0,0.0,410.0,87317.80983099995
2021-08-04,45.0,27.0,0.0,105.0,83348.32443099997
2021-08-03,25.0,29.0,1.0,600.0,84047.03634099997
2021-08-02,26.0,32.0,0.0,185.0,248673.605657
2021-08-01,27.5,30.8,1.0,310.0,92204.49216700002
2021-07-31,26.0,22.0,1.0,1156.05,103326.854934
2021-07-30,31.0,33.0,1.0,173.0,93431.24829200002
2021-07-29,44.0,20.0,1.0,57.0,84038.44417500001
2021-07-28,22.0,47.0,1.0,1000.0,82195.06900700004
2021-07-27,40.0,19.0,1.0,1300.0,95429.23100299995
2021-07-26,23.0,33.0,0.0,68.0,81751.03389500002
2021-07-25,36.0,24.2,1.0,36.0,100520.00412600001
2021-07-24,20.0,15.4,0.0,222.0,91913.806371
2021-07-23,23.1,19.0,0.0,1155.0,90487.70975899998
2021-07-22,20.0,27.0,0.0,141.25,255180.56818200008
2021-07-21,24.2,16.0,1.0,500.0,92422.87278100004
2021-07-20,20.1,17.0,0.0,91.0,91389.021406
2021-07-19,21.0,1.0,1.0,51.0,87168.07221699996
2021-07-18,20.9,30.32,1.0,156.0,92565.11493000001
2021-07-17,41.0,26.0,1.0,113.0,85648.75391000001
2021-07-16,26.0,35.0,1.0,139.0,89319.30593099997
2021-07-15,35.0,36.8,22.0,94.0,86439.83103
2021-07-14,38.5,28.6,1.0,226.0,87311.24949999999
2021-07-13,20.0,21.85,1.0,60.0,89230.78277199999
2021-07-12,18.0,11.0,1.0,94.0,84196.196457
2021-07-11,8.0,6.0,1.0,30.0,95771.18268200001
2021-07-10,7.0,18.0,1.0,30.0,91438.366433
2021-07-09,19.8,30.0,1.0,47.0,94873.39209999997
2021-07-08,38.25,1.0,0.0,85.6,87727.30597499998
2021-07-07,31.59,44.0,1.0,65.0,77214.74438000003
2021-07-06,37.0,11.5,0.0,156.0,77766.75446000001
2021-07-05,10.0,11.0,1.0,93.0,93260.01765300002
2021-07-04,4.1,9.0,1.0,31.15,105006.80291300002
2021-07-03,4.0,4.15,1.0,500.0,109061.09330900002
2021-07-02,4.3,9.0,0.0,232.0,98448.83384300001
2021-07-01,7.0,23.0,0.0,88.0,108432.263137
2021-06-30,23.1,15.0,1.0,183.0,91940.72114700005
2021-06-29,15.18,10.0,1.0,45.0,88104.08281100001
2021-06-28,10.35,17.0,1.0,54.0,109575.70850400002
2021-06-27,22.0,14.0,1.0,550.0,100442.67066899998
2021-06-26,7.0,12.1,0.0,26.0,108032.57355599996
2021-06-25,16.5,6.33,0.0,150.0,89588.80493799999
2021-06-24,11.0,12.0,1.0,45.9,86342.20740299998
2021-06-23,10.89,44.0,1.0,51.0,92432.72073500002
2021-06-22,28.0,58.07,0.0,284.0,97475.15546699999
2021-06-21,93.0,6.0,0.0,108.5,86493.35443700003
2021-06-20,6.0,8.0,1.0,46.0,106953.08312099999
2021-06-19,11.29,1.0,1.0,28.0,110576.494613
2021-06-18,14.64,12.0,1.0,70.0,92852.05879899999
2021-06-17,10.3,16.5,1.0,47.0,90798.94345100004
2021-06-16,19.8,10.0,0.0,55.0,86973.59652500003
2021-06-15,7.0,25.5,1.0,37.0,91411.096134
2021-06-14,1.0,10.15,0.0,38.0,88413.92644699998
2021-06-13,12.1,1.0,1.0,74.0,96484.30252200001
2021-06-12,13.0,9.0,1.0,60.5,94699.64056699995
2021-06-11,11.0,17.0,1.0,55.0,90100.89468
2021-06-10,14.0,11.0,1.0,48.6,91394.26248399999
2021-06-09,14.86,11.0,9.36,64.0,94736.98940000003
2021-06-08,20.0,15.0,1.0,81.0,86174.10535200004
2021-06-07,16.0,16.0,9.9,57.0,98931.91743300004
2021-06-06,16.0,12.0,1.0,39.6,91152.838437
2021-06-05,16.0,19.0,1.0,23.0,108305.52929099994
2021-06-04,17.6,16.5,14.8,47.0,82404.664412
2021-06-03,29.7,17.16,3.0,51.06,96180.61215
2021-06-02,24.0,29.0,1.0,66.0,99523.42441299997
2021-06-01,30.0,24.0,1.0,50.0,83353.260141
2021-05-31,28.0,17.0,1.0,81.0,83711.117012
2021-05-30,17.0,24.2,1.0,36.0,98496.29307399996
2021-05-29,23.0,25.0,1.0,57.51,85292.06970699999
2021-05-28,23.1,28.0,1.0,59.0,86452.96983000003
2021-05-27,32.0,36.0,1.0,56.0,83683.098356
2021-05-26,41.8,1.0,1.0,394.0,83606.903244
2021-05-25,40.7,55.0,1.0,80.0,90240.88188399999
2021-05-24,53.5,52.8,1.0,104.0,85261.78717099997
2021-05-23,60.0,52.0,1.0,537.0,132660.38638400004
2021-05-22,41.0,53.0,1.0,74.0,95239.11156100006
2021-05-21,61.25,57.0,1.0,444.0,79056.06834099999
2021-05-20,65.0,470.0,1.0,515.0,71900.32795599998
2021-05-19,30.1,86.0,1.0,1989.0,75194.69985399999
2021-05-18,67.0,48.0,1.0,151.0,73187.66307899996
2021-05-17,72.6,60.0,1.0,238.8,69302.35472299998
2021-05-16,69.0,50.01,1.0,220.61,75571.01354499998
2021-05-15,1.0,1.0,1.0,137.0,73626.296728
2021-05-14,157.0,81.0,1.0,260.0,67099.995046
2021-05-13,84.0,342.0,1.0,410.25,67505.27059999999
2021-05-12,418.14,288.0,1.0,593.0,65856.364653
2021-05-11,338.8,254.1,1.0,431.21,64185.64076199999
2021-05-10,1.0,93.0,1.0,453.0,61234.340710000004
2021-05-09,93.5,158.0,1.0,275.0,60496.48661200001
2021-05-08,158.0,41.0,1.0,325.21,57647.870786
2021-05-07,41.0,44.0,1.0,132.0,75995.222164
2021-05-06,47.0,54.75,1.0,107.0,66929.91060299997
2021-05-05,51.13,41.01,3.0,250.0,72945.794837
2021-05-04,54.57,58.0,1.0,172.0,79418.50407599998
2021-05-03,57.0,31.0,1.0,156.0,73940.653836
2021-05-02,32.34,1.0,1.0,73.0,72586.475047
2021-05-01,28.0,47.0,1.0,60.0,73048.17647799996
2021-04-30,41.8,47.0,1.0,93.5,75432.08401099997
2021-04-29,1.0,71.0,1.0,125.0,69986.112257
2021-04-28,63.0,71.0,6.0,362.0,68264.14909399998
2021-04-27,57.0,40.0,1.0,116.0,71035.79792800001
2021-04-26,44.0,48.71,1.0,80.0,73814.73965100001
2021-04-25,46.32,48.0,1.0,75.0,91136.08094800003
2021-04-24,55.0,89.0,1.0,89.0,82259.30535100002
2021-04-23,1.0,81.0,1.0,277.0,71908.29084999998
2021-04-22,78.0,121.0,1.0,251.0,65924.97137899998
2021-04-21,134.0,143.0,1.0,234.0,60488.150922
2021-04-20,145.0,359.0,1.0,458.0,58528.031104999995
2021-04-19,317.0,113.88,3.0,400.0,67926.60098599999
2021-04-18,107.19,1.0,1.0,583.0,62212.11230199998
2021-04-17,136.0,144.0,1.0,210.45,59886.64495100001
2021-04-16,110.0,136.0,1.0,328.0,57921.97575000001
2021-04-15,115.74,106.0,1.0,130.0,74200.32994199998
2021-04-14,130.0,124.0,1.0,236.0,68028.89683699998
2021-04-13,115.0,122.0,1.0,209.0,64714.17112299999
2021-04-12,84.89,93.0,1.0,170.0,68065.48143999999
2021-04-11,76.63,82.0,1.0,101.2,70715.63507399999
2021-04-10,139.0,90.0,1.0,143.0,75064.72543600002
2021-04-09,85.0,80.99,1.0,165.0,73314.04572400001
2021-04-08,122.0,93.0,1.0,177.0,68855.73078600003
2021-04-07,120.0,1.0,1.0,240.0,66362.41284799999
2021-04-06,135.0,188.4,1.0,257.0,73057.83499499998
