Date,Open,High,Low,Close,Volume,Personal Saving %,Close/Last
2018-07-26,472.330994,483.696014,461.424011,464.036987,1621560064,7.6,2837.44
2018-07-27,464.009003,473.221985,458.290985,469.665985,1734259968,7.6,2818.82
2018-07-30,466.826996,467.951996,448.640991,457.080994,2141590000,7.6,2802.6
2018-07-31,457.244995,457.244995,430.444,433.867004,1820680000,7.6,2816.29
2018-08-01,433.868988,435.457001,410.463989,420.747009,1888060000,7.6,2813.36
2018-08-02,420.806,425.033997,410.30899,412.621002,1569300000,7.6,2827.22
2018-08-03,412.566986,420.549011,399.910004,418.261993,1722340000,7.6,2840.35
2018-08-06,410.566986,414.540009,403.315002,406.65799,1384880000,7.6,2850.4
2018-08-07,406.800995,411.404999,376.076996,380.214996,1828350000,7.6,2858.45
2018-08-08,379.891998,380.67099,353.734009,356.613007,2016080000,7.6,2857.7
2018-08-09,356.971008,370.946014,353.614014,365.588013,1616610000,7.6,2853.58
2018-08-10,365.776001,367.045013,329.585999,334.175995,1699400000,7.6,2833.28
2018-08-13,320.209991,323.550995,284.93399,286.494995,1751190000,7.6,2821.93
2018-08-14,286.36499,286.36499,254.649994,278.932007,2137850000,7.6,2839.96
2018-08-15,280.386993,303.589996,280.118988,282.364014,1878150000,7.6,2818.37
2018-08-16,282.740997,298.476013,280.928009,288.04599,1552970000,7.6,2840.69
2018-08-17,287.683014,316.170013,287.346008,315.729004,1995460000,7.6,2850.13
2018-08-20,301.381012,304.372009,273.510986,274.315002,1413790000,7.6,2857.05
2018-08-21,273.330994,285.970001,273.330994,281.944,1164120000,7.6,2862.96
2018-08-22,281.967987,297.485992,264.997986,271.341003,1507660000,7.6,2861.82
2018-08-23,271.747986,279.54599,271.089996,277.104004,1271160000,7.6,2856.98
2018-08-24,278.110992,283.302002,273.859985,282.96701,1450170000,7.6,2874.69
2018-08-27,275.350006,285.602997,273.649994,285.602997,1406790000,7.6,2896.74
2018-08-28,286.648987,297.399994,283.571991,296.498993,1513350000,7.6,2897.52
2018-08-29,296.162994,297.071014,287.286987,289.312012,1474460000,7.6,2914.04
