date,Day of Year,id,nlikes,nretweets,compound,neg,neu,pos
2019-02-17,48.0,1.0972074590100952e+18,3.3476764199655764,0.8623063683304647,0.13453187033849684,0.02960441767068273,0.8952105565117614,0.07517928858290304
2019-02-18,49.0,1.0975366046302182e+18,2.66,0.6569072164948454,0.12931989690721649,0.025974639175257733,0.9050962886597937,0.06892865979381443
2019-02-19,50.0,1.097910267544556e+18,2.0241310604383442,0.6402479521806509,0.13378970555678546,0.02292893513393845,0.9087208324108922,0.06834779721053796
2019-02-20,51.0,1.0982742074952573e+18,2.516883116883117,0.69728453364817,0.15108177095631642,0.025172609208972845,0.9015211334120425,0.07330625737898465
2019-02-21,52.0,1.0986310520058186e+18,2.526245670130562,0.6610711430855316,0.15130903277378097,0.0265259792166267,0.8991766586730616,0.07429496402877699
2019-02-22,53.0,1.0989980527888205e+18,2.125359101593105,0.6359362757900235,0.13688777748759465,0.02702925045703839,0.9028271089057196,0.07014129015408724
2019-02-23,54.0,1.0993657834774954e+18,1.7829032258064517,0.5467741935483871,0.14525783870967743,0.024265806451612904,0.9041148387096773,0.0716125806451613
2019-02-24,55.0,1.0997320771416955e+18,1.7701336811216173,0.5718943593087707,0.144280828170851,0.025581349853276817,0.9012256276491686,0.07319334854907075
2019-02-25,56.0,1.1000838022260366e+18,2.230167597765363,0.6349162011173184,0.16009413407821227,0.02529245810055866,0.8998050279329609,0.07490474860335196
2019-02-26,57.0,1.1004412647597805e+18,2.2528273435536565,0.8301080673536064,0.1817849208343805,0.02057426489067605,0.8987094747423976,0.08071550640864539
2019-02-27,58.0,1.1008079932108038e+18,2.2067421648670003,0.6518303924150646,0.14808767447985252,0.028451672372925996,0.896937055570187,0.0746078483012905
2019-02-28,59.0,1.1011747743079734e+18,3.6616818378846987,1.11790203727785,0.13316725184221934,0.03454551365409623,0.8883823146944083,0.07706978760294755
2019-03-01,60.0,1.101524858730276e+18,2.7479957242116515,1.3677177979690005,0.15503618385889897,0.025600213789417424,0.901610368786745,0.07278540887226083
2019-03-02,61.0,1.1018953541189678e+18,2.881603596852754,0.7841888347695766,0.14920093668040466,0.0303357062570251,0.895317347321094,0.07434919445485201
2019-03-03,62.0,1.1022642556209499e+18,1.8139926000672721,0.4951227716111672,0.1694669357551295,0.028300706357214937,0.8850322906155399,0.08666633030608813
2019-03-04,63.0,1.1026160801206739e+18,2.1297117516629713,0.770509977827051,0.1195595620842572,0.03321895787139689,0.8986252771618625,0.06814966740576497
2019-03-05,64.0,1.1029806403745723e+18,2.3658342189160466,0.7523910733262487,0.16275419766206164,0.019837141339001062,0.904990170031881,0.07517348565356004
2019-03-06,65.0,1.1033406452192977e+18,2.7865284974093263,0.8414507772020725,0.1583529792746114,0.01955181347150259,0.9058836787564766,0.07456761658031089
2019-03-07,66.0,1.1037104323385115e+18,2.3860775751348573,0.7284870279989725,0.15387680452093502,0.03915823272540458,0.8758964808630876,0.08495299255073208
2019-03-08,67.0,1.1040675000774575e+18,2.232968881412952,0.9946733950098122,0.15018679562657697,0.0317546958228203,0.8903296888141295,0.07791225119147743
2019-03-09,68.0,1.1044268028305989e+18,2.3178687930409567,1.2276187024284162,0.1450642986589344,0.0264505255527365,0.9005208408843783,0.0730286335628851
2019-03-10,69.0,1.1047888501674122e+18,2.077870480731029,0.6591179976162098,0.17873591577274534,0.0232248708780294,0.8968537941994438,0.07991219705999206
